trial_id,union_ratio,true_ratio,predicted_ratio,track_purity,target_effectiveness,division_recovery,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/max_distance,config/gap_closing_max_distance,config/gap_closing,search_name
f09d99f6,0.43332041093235124,0.6092940855819025,0.6000536840692524,-1.0,-1.0,-1.0,17.71730375289917,True,,,1,4da30325e18e48f5a0f8c4444f744d87,2022-09-11_16-25-58,1662881158,17.71730375289917,99540,bwmpc0687,10.3.6.87,17.71730375289917,0,1,0.0023076534271240234,"52_gap_closing=0,gap_closing_max_distance=0.8264,max_distance=1.1985",1.1984872307745216,0.8264060073799038,0,OptunaSearch
04349bbc,0.43332041093235124,0.6092940855819025,0.6000536840692524,-1.0,-1.0,-1.0,17.620603799819946,True,,,1,962072ff6cff4beeb842b230d506b368,2022-09-11_16-33-58,1662881638,17.620603799819946,103244,bwmpc0687,10.3.6.87,17.620603799819946,0,1,0.0037992000579833984,"31_gap_closing=1,gap_closing_max_distance=1.2036,max_distance=1.1985",1.198501148306573,1.2036023888439198,1,OptunaSearch
8d041d48,0.4332784184514003,0.6092940855819025,0.5999731615673645,-1.0,-1.0,-1.0,16.923464059829712,True,,,1,e12d0d9c5115489bb31b04fb3bbe1803,2022-09-11_16-23-10,1662880990,16.923464059829712,98338,bwmpc0687,10.3.6.87,16.923464059829712,0,1,0.003456592559814453,"26_gap_closing=0,gap_closing_max_distance=1.0742,max_distance=1.2011",1.2010603805690236,1.0742468972085293,0,OptunaSearch
b4686a1a,0.43277799302595893,0.6088852548378305,0.5994097129058223,-1.0,-1.0,-1.0,17.230546236038208,True,,,1,4da30325e18e48f5a0f8c4444f744d87,2022-09-11_16-24-17,1662881057,17.230546236038208,99540,bwmpc0687,10.3.6.87,17.230546236038208,0,1,0.0023076534271240234,"33_gap_closing=0,gap_closing_max_distance=1.2138,max_distance=1.2051",1.2050544175325044,1.2137916221786085,0,OptunaSearch
2ca80e04,0.4326392251815981,0.6087489779231399,0.5992755567480548,-1.0,-1.0,-1.0,16.90699815750122,True,,,1,bfc893d26e1b42e5978f6b4f0faa3986,2022-09-11_16-27-38,1662881258,16.90699815750122,99536,bwmpc0687,10.3.6.87,16.90699815750122,0,1,0.002427816390991211,"78_gap_closing=0,gap_closing_max_distance=1.2980,max_distance=1.2058",1.2058042219331297,1.2980205226050396,0,OptunaSearch
227307cc,0.4326392251815981,0.6087489779231399,0.5992755567480548,-1.0,-1.0,-1.0,16.879143238067627,True,,,1,f488868043cb48be92c95494ea7a227c,2022-09-11_16-27-21,1662881241,16.879143238067627,99548,bwmpc0687,10.3.6.87,16.879143238067627,0,1,0.0023970603942871094,"70_gap_closing=0,gap_closing_max_distance=0.6812,max_distance=1.2039",1.2038614631188376,0.6811514566542481,0,OptunaSearch
bf51c67e,0.4315850590284498,0.6077950395203052,0.598175965665236,-1.0,-1.0,-1.0,17.6723415851593,True,,,1,6d2a9c29182c440385d83453fdabb6a6,2022-09-11_16-24-36,1662881076,17.6723415851593,99550,bwmpc0687,10.3.6.87,17.6723415851593,0,1,0.002482175827026367,"44_gap_closing=0,gap_closing_max_distance=1.3632,max_distance=1.2070",1.2070221704680533,1.3632011413699314,0,OptunaSearch
2d6e25da,0.4315035337399555,0.6073862087762333,0.5984156820622986,-1.0,-1.0,-1.0,17.302358388900757,True,,,1,b35f83c415714f04a80336c962e3c029,2022-09-11_16-27-40,1662881260,17.302358388900757,99538,bwmpc0687,10.3.6.87,17.302358388900757,0,1,0.002432584762573242,"84_gap_closing=0,gap_closing_max_distance=0.9485,max_distance=1.1862",1.1861534378575502,0.9485463515609641,0,OptunaSearch
9ca6d_00093,0.4315035337399555,0.6073862087762333,0.5984156820622986,-1.0,-1.0,-1.0,17.061596870422363,True,,,1,8431a3a19add450da559b76ef92e1b20,2022-09-11_15-37-25,1662878245,17.061596870422363,94207,bwmpc0687,10.3.6.87,17.061596870422363,0,1,0.0030295848846435547,"93_gap_closing_max_distance=1.6039,max_distance=1.1850",1.1849832124837056,1.603895002118685,0,RandomSearch
22a2bf58,0.43148829107799497,0.6076587626056146,0.5981220657276995,-1.0,-1.0,-1.0,16.93930196762085,True,,,1,bfc893d26e1b42e5978f6b4f0faa3986,2022-09-11_16-27-21,1662881241,16.93930196762085,99536,bwmpc0687,10.3.6.87,16.93930196762085,0,1,0.002427816390991211,"73_gap_closing=0,gap_closing_max_distance=0.6935,max_distance=1.2061",1.2061247328081177,0.693516857684823,0,OptunaSearch
e30d37a0,0.43148829107799497,0.6076587626056146,0.5981220657276995,-1.0,-1.0,-1.0,18.680562496185303,True,,,1,40e687fd06c242d6a5a8f3f2addffc13,2022-09-11_16-32-46,1662881566,18.680562496185303,102849,bwmpc0687,10.3.6.87,18.680562496185303,0,1,0.004239082336425781,"19_gap_closing=1,gap_closing_max_distance=0.5947,max_distance=1.2062",1.2062205632438383,0.5947282704991304,1,OptunaSearch
